,IATA
0,AHO
1,ALL
2,AOI
3,AOT
4,AVB
5,BAU
6,BDS
7,BGY
8,BLQ
9,BRI
10,BZO
11,CAG
12,CIA
13,CIY
14,CRV
15,CTA
16,CUF
17,EBA
18,FCO
19,FLR
20,FOG
21,FRL
22,GOA
23,GRS
24,LCC
25,LCV
26,LIN
27,LMP
28,MXP
29,NAP
30,NSY
31,OLB
32,PEG
33,PMF
34,PMO
35,PNL
36,PSA
37,PSR
38,QSR
39,REG
40,RMI
41,SAY
42,SUF
43,TAR
44,TPS
45,TRN
46,TRS
47,TSF
48,TTB
49,UDN
50,VBS
51,VCE
52,VIC
53,VRN
