,IATA
0,BGC
1,BGZ
2,BYJ
3,CBP
4,CHV
5,COV
6,CVU
7,FAO
8,FLW
9,FNC
10,GRW
11,HOR
12,LIS
13,OPO
14,PDL
15,PIX
16,PRM
17,PXO
18,SIE
19,SJZ
20,SMA
21,TER
22,VRL
23,VSE
